mite_acc,reaction,enzyme_name,enzyme_description,tailoring,id_uniprot,id_genpept
MITE0000075,CSc1c(O)cc(-c2ccccn2)nc1/C=N/O>>COc1cc(-c2ccccn2)nc(C=NO)c1SC,ClmM2,O-methyltransferase,Methylation,H1ZYV4,CCC55909.1
MITE0000023,CC1OC(c2ccc3c(c2O)C(=O)C2=C(O)C4(O)C(=O)C(C(N)=O)=C(O)C(O)C4CC2C3(C)O)CC(O)C1O>>COC12C(=O)C(C(N)=O)=C(O)C(O)C1CC1C(=C2O)C(=O)c2c(ccc(C3CC(O)C(O)C(C)O3)c2O)C1(C)O,SsfM1,O-methyltransferase,Methylation,D6MSX0,ADE34508.1
MITE0000105,C=C1/C=C/C(C)=C\c2csc(n2)C2(CC2)NC(=O)C[C@@](CC(=O)O)(SS)CC/C(C)=C/C1>>C=C1/C=C/C(C)=C\c2csc(n2)C2(CC2)NC(=O)C[C@@](CC(=O)O)(SSC)CC/C(C)=C/C1,GnmP,Persulfide methyltransferase,Methylation,A0A2H4T153,ATY69565.1
MITE0000031,C[S+](CCC([NH3+])C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.NC(Cc1ccc(O)cc1)C(=O)O>>Cc1cc(CC(N)C(=O)O)ccc1O.Nc1ncnc2c1ncn2C1OC(C[SH+]CCC(N)C(=O)O)C(O)C1O,SacF,SAM-dependent methyltransferase,Methylation,Q5JCL5,AAL33761.1
MITE0000002,COC[C@H]1O[C@@H](O[C@@H]2OC[C@@H]3O[C@]4(O[C@H]3[C@H]2OC(=O)C(C)C)O[C@H](C)[C@@](O)(C(C)=O)C2OCOC24)[C@@H](OC)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](C)[C@H](OC)[C@H](O[C@H]2C[C@@]3(C)OC4(C[C@H](O)[C@H](O[C@H]5C[C@@H](O)[C@H](OC(=O)c6c(C)c(Cl)c(O)c(Cl)c6O)[C@@H](C)O5)[C@@H](C)O4)O[C@@H]3[C@@H](C)O2)[C@H]1O>>COC[C@H]1O[C@@H](O[C@@H]2OC[C@@H]3O[C@]4(O[C@H]3[C@H]2OC(=O)C(C)C)O[C@H](C)[C@@](O)(C(C)=O)C2OCOC24)[C@@H](OC)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](C)[C@H](OC)[C@H](O[C@H]2C[C@@]3(C)OC4(C[C@H](O)[C@H](O[C@H]5C[C@@H](O)[C@H](OC(=O)c6c(C)c(Cl)c(O)c(Cl)c6OC)[C@@H](C)O5)[C@@H](C)O4)O[C@@H]3[C@@H](C)O2)[C@H]1O,AviG4,O-methyltransferase,Methylation,L8PIQ8,ELS56114.1
MITE0000009,C12CC=C(CC(C=CC=C(C)C3(O)CC(O)C(C)=CC3C(=O)OC(CC3(OC(C)C(C)CC3)O1)C2)C)C>>C12CC(CC3(O1)CCC(C)C(C)O3)OC(=O)C1C(CC(C(=C1)C)OC)(O)C(C)=CC=CC(C)CC(C)=CC2,MeiD,O-methyltransferase,Methylation,D6C4C6,ADC45587.1
MITE0000085,O=C1C(O)=CC(=O)c2c(O)cc(O)cc21>>Cc1c(O)cc2c(c1O)C(=O)C=C(O)C2=O,NapB5,putative methyltransferase,Methylation,A7KH06,ABS50465.1
MITE0000141,N=C(N)NCCC[C@@H]1NC(=O)/C(=C/c2ccc(O)c(OCC[C@H](NC(=O)C[C@](O)(CC(=O)O)C(=O)O)C(=O)O)c2)NC1=O>>COc1ccc(C=C2NC(=O)[C@H](CCCNC(=N)N)NC2=O)cc1OCC[C@H](NC(=O)C[C@](O)(CC(=O)O)C(=O)O)C(=O)O,AnkF,o-methyltransferase,Methylation,A0A397HK53,RHZ63465.1
MITE0000080,Cc1cccc(O)c1C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O>>Cc1ccc(C)c(C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)(O)O)c1O,PokMT1,C-methyltransferase,Methylation,C0JWB3,ACN64833.1
MITE0000077,Cc1cccc(O)c1C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O>>Cc1ccc(C)c(C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)(O)O)c1O,MdpB1,C-methyltransferase,Methylation,B0BLM5,ABY66020.1
MITE0000004,COC[C@H]1O[C@@H](O[C@@H]2OC[C@@H]3O[C@]4(O[C@H]3[C@H]2OC(=O)C(C)C)O[C@H](C)[C@@](O)(C(C)=O)C2OCOC24)[C@@H](OC)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](C)[C@H](O)[C@H](O[C@H]2C[C@@]3(C)OC4(C[C@H](O)[C@H](O[C@H]5C[C@@H](O)[C@H](OC(=O)c6c(C)c(Cl)c(O)c(Cl)c6OC)[C@@H](C)O5)[C@@H](C)O4)O[C@@H]3[C@@H](C)O2)[C@H]1O>>COC[C@H]1O[C@@H](O[C@@H]2OC[C@@H]3O[C@]4(O[C@H]3[C@H]2OC(=O)C(C)C)O[C@H](C)[C@@](O)(C(C)=O)C2OCOC24)[C@@H](OC)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](C)[C@H](OC)[C@H](O[C@H]2C[C@@]3(C)OC4(C[C@H](O)[C@H](O[C@H]5C[C@@H](O)[C@H](OC(=O)c6c(C)c(Cl)c(O)c(Cl)c6OC)[C@@H](C)O5)[C@@H](C)O4)O[C@@H]3[C@@H](C)O2)[C@H]1O,AviG5,O-methyltransferase,Methylation,Q93KW5,AAK83180.1
MITE0000001,COc1c(Cl)c(O)c(Cl)c(C)c1C(=O)O[C@H]1[C@H](O)C[C@H](O[C@H]2[C@@H](O)CC3(O[C@@H]4[C@@H](C)O[C@@H](O[C@@H]5[C@@H](O)[C@H](O[C@H]6[C@H](O)[C@H](OC)[C@H](O[C@@H]7OC[C@@H]8O[C@]9(O[C@H]8[C@H]7OC(=O)C(C)C)O[C@H](C)[C@@](O)(C(C)=O)C7OCOC79)O[C@@H]6CO)O[C@H](C)[C@@H]5OC)C[C@@]4(C)O3)O[C@@H]2C)O[C@@H]1C>>COC[C@H]1O[C@@H](O[C@@H]2OC[C@@H]3O[C@]4(O[C@H]3[C@H]2OC(=O)C(C)C)O[C@H](C)[C@@](O)(C(C)=O)C2OCOC24)[C@@H](OC)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](C)[C@H](OC)[C@H](O[C@H]2C[C@@]3(C)OC4(C[C@H](O)[C@H](O[C@H]5C[C@@H](O)[C@H](OC(=O)c6c(C)c(Cl)c(O)c(Cl)c6OC)[C@@H](C)O5)[C@@H](C)O4)O[C@@H]3[C@@H](C)O2)[C@H]1O,AviG2,O-methyltransferase,Methylation,Q93KW1,AAK83184.1
MITE0000015,COC1C(O)=C(C(C)=O)C(=O)C2(OC3CC(OC4CC(OC5CC(C)(O)C(O)C(C)O5)C(O)C(C)O4)C(O)C(C)O3)C(=O)c3c(cc4cc(O)cc(O)c4c3O)CC12>>COC1C(O)=C(C(C)=O)C(=O)C2(OC3CC(OC4CC(OC5CC(C)(O)C(O)C(C)O5)C(O)C(C)O4)C(O)C(C)O3)C(=O)c3c(cc4cc(O)c(C)c(O)c4c3O)CC12,MtmMII,C-methyltransferase,Methylation,Q194P8,CAK50790.1
MITE0000156,Cc1cc(O)c(C(=O)c2c(O)cccc2O)c(CO)c1>>CC1=CC(=O)C(C(=O)c2c(O)cccc2O)=C(CO)[C@@H]1O,PhoM,Flavin-dependent monooxygenase,Monooxygenation,UPI0020464A74,UPG58742.1
MITE0000087,Cc1cc2cc3cccc(O)c3c(O)c2c(O)c1C(=O)CCC(C)C>>CC1=C(C(=O)CCC(C)C)C(=O)c2c(cc3cccc(O)c3c2O)C1=O,RslO4,Monooxygenase,Monooxygenation,W8QLE0,AHL46722.1
MITE0000012,COC1=CC(=O)c2c(O)c3c(c(O)c2C1=O)C(=O)C1(O)c2c(cc4cc(C)oc(=O)c4c2O)CCC1(O)C3=O>>COc1cc(O)c2c(O)c3c(c(O)c2c1O)C(O)(C(=O)O)OC1(CCc2cc4cc(C)oc(=O)c4c(O)c2O1)C3=O,GrhO5,Flavoprotein monooxygenase,Monooxygenation,Q8KSX7,AAM33672.1
MITE0000142,N=C(N)NCCC[C@@H]1NC(=O)/C(=C/c2ccc(O)cc2)NC1=O>>N=C(N)NCCC[C@@H]1NC(=O)C(=Cc2ccc(O)c(O)c2)NC1=O,AnkC,FAD-dependent monooxygenase,Monooxygenation,A0A397HQ89,RHZ63464.1
MITE0000013,COc1cc(O)c2c(O)c3c(c(O)c2c1O)C(=O)OC1(CCc2cc4cc(C)oc(=O)c4c(O)c2O1)C3=O>>COc1cc(O)c2c(O)c3c(c(O)c2c1O)OC1(CCc2cc4cc(C)oc(=O)c4c(O)c2O1)C3=O,GrhO6,Flavoprotein monooxygenase,Monooxygenation,Q8KSX5,AAM33673.1
